Código;Nombre;Dirección;C.P.;Municipio;Pedanía;Teléfono;Fax;Email;URL Real;URL Corta;Latitud;Longitud;Descripción;Categoría;Foto 1;Foto 2;Foto 3;Foto 4;Foto 5;Foto 6;Foto 7;Foto 8;Foto 9;Foto 10;Foto 11;Foto 12;Foto 13;Foto 14;Foto 15;Foto 16;Foto 17
8893;Carnaval de Bullas;Avda. de Murcia;30180;Bullas;;968652244;;turismo@bullas.es;;;;;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-8893-1p_g.jpg;;;;;;;;;;;;;;;;
7508;Carnavales de Totana;Plaza Constitución, s/n;30.85;Totana;;968418153;;turismo@totana.es;https://www.carnavaldetotana.com/;;;;<p>La celebraci&oacute,n del Carnaval es una gran fiesta de alegr&iacute,a, m&uacute,sica, baile e ingenio&nbsp, donde&nbsp, participan m&aacute,s de una veintena de pe&ntilde,as que desfilan por las principales calles de la ciudad.</p><p><strong>Sus principales actividades son:</strong></p><p>- Cena Gala del Carnaval, presentaci&oacute,n del cartel anunciador y proclamaci&oacute,n de &ldquo,La Musa&rdquo, y &ldquo,Don Carnal&rdquo,.&nbsp,<br />-&nbsp, S&aacute,bado de Carnaval, Gran Desfile de Pe&ntilde,as del Carnaval por las calles de la ciudad.<br />- Domingo de Carnaval desfile Infantil.</p><p>- Martes de Carnaval, concentraci&oacute,n de M&aacute,scaras.</p><p>- S&aacute,bado de pi&ntilde,ata, desfile regional de Carnaval por las calles de la ciudad.</p><p>- Fiesta de Entrega de Premios a las Pe&ntilde,as del Carnaval.</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-7508-1p_g.jpg;;;;;;;;;;;;;;;;
498;Carnavales del Cabezo de Torres;;;Murcia;CABEZO DE TORRES;;;;http://www.carnavaldecabezodetorres.com/;http://www.carnavaldecabezodetorres.com/;;;<p>Durante tres d&iacute,as, la pedan&iacute,a murciana se convierte en el centro de atracci&oacute,n de la comarca, con cuatro desfiles y concursos de disfraces entre las distintas comparsas que dan vida a la fiesta.<br />&nbsp,</p>;Interés Turístico Regional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-4_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-10_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-6_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-7_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-8_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-9_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-498-5_g.jpg;;;;;;;
486;Certamen Internacional de Tunas 'Costa Cálida';;;Murcia;;;;;http://www.certamencostacalida.es/;http://www.certamencostacalida.es/;;;<p>Desde el a&ntilde,o 1988 se viene celebrando este certamen, en el que compiten tunas llegadas desde puntos tan distantes como Colombia, Holanda, Puerto Rico y por supuesto Espa&ntilde,a. Actuaciones por la noche y actividades paralelas como pasacalles, rondas, etc., dotan a la ciudad de un ambiente tunante y estudiantil.</p><p>&nbsp,</p>;Interés Turístico Regional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/img352002196_g.jpg;;;;;;;;;;;;;;;;
6045;Convento de la Virgen de las Huertas;C/ Alfonso X el Sabio, s/n;30800;Lorca;LORCA;Visitas: 968 47 90 03  - Iglesia: 968 466 115;;info@lorcatallerdeltiempo.com;www.lorcatallerdeltiempo.com;;-1.686860;37.668031;<p>Para los lorquinos esta fiesta es muy querida pues est&aacute, dedicada a la festividad de Santa Mar&iacute,a la Real de las Huertas, Patrona de la Ciudad. Es una feria de gran tradici&oacute,n que se celebra en Lorca desde el a&ntilde,o 1685. El Rey Carlos II concede esta feria, a petici&oacute,n de ilustres lorquinos, para el intercambio de mercanc&iacute,as tan anhelado e imprescindible en el desarrollo de la vida de los ciudadanos de aquel tiempo. Su d&iacute,a festivo es el 8 de septiembre y tiene lugar en el hist&oacute,rico barrio lorquino del mismo nombre en la pedan&iacute,a lorquina de Tiata. Durante unos d&iacute,as se puede disfrutar de un ambiente festivo y cultural donde toman protagonismo, el Festival de Folklore Internacional Virgen de la Huertas, concurso de migas y la romer&iacute,a de la Virgen desde el santuario hasta otros templos de la ciudad. No falta la zona recreativa con las t&iacute,picas casetas de turr&oacute,n y an&iacute,s, conciertos, las cl&aacute,sicas atracciones para los m&aacute,s peque&ntilde,os y, para reponer fuerzas, los tradicionales chiringuitos que se sit&uacute,an las inmediaciones del Santuario Virgen de las Huertas.</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-6045-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-6045-1_g.jpg;;;;;;;;;;;;;;;
6195;Día de la Cruz;;30530;Cieza;;;;;;;;;<p>El d&iacute,a 3 de Mayo es festivo en Cieza,&nbsp,se celebra el d&iacute,a de la Cruz. Se realiza el traslado procesional del Stmo. Cristo del Consuelo desde la Bas&iacute,lica de la Asunci&oacute,n a la Ermita del Stmo. Cristo del Consuelo. Durante el itinerario los asistentes lanzan p&eacute,talos de rosa desde sus balcones al paso del santo&nbsp,y cantan el himno del Santo Cristo arrop&aacute,ndolo hasta su ermita.</p>;;;;;;;;;;;;;;;;;;
6207;El Baile de la Reina;Polideportivo Municipal;30890;Puerto Lumbreras;;968436153;;oficinadeturismo@puertolumbreras.es;;;1.7922752;37.5624951;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-6207-1p_g.jpg;;;;;;;;;;;;;;;;
470;Encierro de Blanca;;;Blanca;;;;;;;;;Encierros de toros en las calles de la localidad, en honor a San Roque.;Interés Turístico Regional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/img18200249_g.jpg;;;;;;;;;;;;;;;;
6353;Encuentro de Cuadrillas Villa de Aledo;Plaza de la Diputación;30859;Aledo;;968484422;968484423;empleo@aledo.es;;;-1.573192;37.795480;<p>En el a&ntilde,o 1998 tiene lugar el primer Encuentro de Cuadrillas de Aledo, y desde entonces, suele celebrarse ininterrumpidamente sobre el tercer domingo de enero, una semana despu&eacute,s del encuentro celebrado en Pati&ntilde,o y una semana anterior a la multitudinaria fiesta de las cuadrillas de Barranda.</p><p>Siendo Aledo un municipio tan arraigado a la tradici&oacute,n y la m&uacute,sica de ra&iacute,z, era imprescindible que esta peque&ntilde,a localidad tambi&eacute,n contase con su propio encuentro de cuadrillas, un evento que lleva ya 20 a&ntilde,os reuniendo agrupaciones de toda la regi&oacute,n, as&iacute, como de muchos otros puntos del panorama nacional.</p><p>Actualmente, el encuentro se desarrolla desde primeras horas de la ma&ntilde,ana,comenzando con la bienvenida y acogida a las cuadrillas. Desde el punto de acogida, las cuadrillas discurren por las empinadas y estrechas calles de la villa hasta la iglesia de Santa Mar&iacute,a la Real, participando en la celebraci&oacute,n de la eucarist&iacute,a con los cantos t&iacute,picos de la zona de donde provienen. Una vez finalizada la celebraci&oacute,n eucar&iacute,stica, las murallas son testigo de nuevo del desfile de cuadrillas y p&uacute,blico asistente hasta el escenario com&uacute,n donde tiene lugar la actuaci&oacute,n de las distintas cuadrillas,&nbsp,las cuales har&aacute,n muestra de la m&uacute,sica de su tierra&nbsp,hasta la hora de comer.</p><p>Ya por la tarde tiene lugar lo que popularmente conocemos por &quot,Cuadrillas en la calle&quot,, actuando cada una de ellas en&nbsp,un determinado lugar escogido a tal fin, permitiendo a los asistentes disfrutar de la m&uacute,sica de cerca y formar parte de la misma.</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-6353-1p_g.jpg;;;;;;;;;;;;;;;;
461;Entierro de la Sardina;Agrupación Sardinera de Murcia. Calle Cuartel de Artillería;30002;Murcia;MURCIA;968 25 03 80;;;www.entierrodelasardina.es;;;;<p>Empez&oacute, como una mofa y parodia, pero con el paso del tiempo el Entierro de la Sardina se ha convertido en uno de los actos m&aacute,s multitudinarios en Murcia durante sus fiestas. En 1851 un grupo de estudiantes ide&oacute, este original evento para parodiar la prohibici&oacute,n de comer carne durante la Cuaresma. A&ntilde,os despu&eacute,s, un grupo de murcianos, denominados como &quot,Sardineros&quot, retomaron el festejo y designan cada a&ntilde,o a personalidades relevantes que deber&aacute,n encarnar al &quot,Gran Pez&quot, y a &quot,Do&ntilde,a Sardina&quot,. Previamente al entierro, se organizan desfiles y pasacalles con gigantes, carrozas y comparsas y el d&iacute,a del entierro las carrozas se engalanan y se ambientan en los dioses del Olimpo y otros seres mitol&oacute,gicos como los dragones al tiempo que se reparten juguetes a los asistentes.</p><p><strong>FECHA DE DATACI&Oacute,N:</strong> 1851</p>;Interés Turístico Internacional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-461-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-461-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_5_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_10_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_7_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_8_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_9_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_461_6_g.jpg;;;;;;;;;
8012;Feria de Calasparra;c/ mayor, 14;30420;Calasparra;;669480980;;oficinadeturismodecalasparra@gmail.com;www.turismocalasparra.es;;;;<p><span style='font-size:13px'>Se celebra del 2 al 8 de Septiembre en honor a la Virgen de la Esperanza, Patrona de Calasparra</span></p><p><span style='font-size:13px'>En estos d&iacute,as de fiesta y ocio son muchos los actos organizados, entre ellos los Famosos Encierros de Calasparra. que durante todos los dias y a las 10.00 de la ma&ntilde,ana, los toros corren por las calles de Calasparra hasta llegar al Coso de la Caverina.</span></p><p><span style='font-size:13px'>La noche del 7 de Seaptiembre se celebra la famosa y tradicional Romeria al Santuario Ntra. Sra. de la Esperanza.</span></p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-8012-2p_g.JPG;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-8012-1p_g.jpg;;;;;;;;;;;;;;;
7504;Feria de Murcia;;;Murcia;;;;;;;;;;;;;;;;;;;;;;;;;;;
5980;FERIA Y FIESTAS DE MULA;;;Mula;;968 661 501;;turismo@aytomula.es;;;-1.489336;38.037156;<p>Las fiestas patronales se celebran en honor a San Felipe Martir, a la Virgen del Carmen y al Ni&ntilde,o Jes&uacute,s del Balate y tienen lugar del 19 al 25 de Septiembre. El eje religioso de toda la semana festiva lo establece la conmemoraci&oacute,n de la aparici&oacute,n del Ni&ntilde,o Jes&uacute,s al pastor Pedro Bot&iacute,a que se celebra el d&iacute,a 21.&nbsp, Un amplia programaci&oacute,n de verbenas, conciertos, atracciones de feria, muestras de artesan&iacute,a, etc, hacen disfrutar a los visitantes que se acerquen durante los d&iacute,as de las fiestas patronales</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-5980-1p_g.jpg;;;;;;;;;;;;;;;;
484;Festival Internacional del Folklore en el Mediterráneo;;;Murcia;;;;;;;;;<p>El Festival Internacional de Folklore en el Mediterr&aacute,neo, declarado de inter&eacute,s tur&iacute,stico regional, celebrar&aacute, del 10 al 14 de julio su 50&ordf, edici&oacute,n, lo que le convierte en el m&aacute,s longevo de todos los festivales que se celebran no s&oacute,lo en la Regi&oacute,n de Murcia sino tambi&eacute,n en toda Espa&ntilde,a.<br /><br />En el festival participar&aacute,n grupos de Murcia, Badajoz, San Sebasti&aacute,n, Polonia, Colombia, Grecia, India y Puerto Rico.<br /><br />Hay que resaltar, como novedad, la integraci&oacute,n del simb&oacute,lico acto del encendido de la Antorcha de la Amistad en el entorno mismo del festival. Para ello las actividades se desarrollar&aacute,n durante un d&iacute,a m&aacute,s en el escenario ubicado en la Plaza del Cardenal Belluga en el que el p&uacute,blico podr&aacute, contemplar el acto protocolario del encendido de la Antorcha de la Amistad, las danzas y bailes de la totalidad de los grupos participantes y un recital l&iacute,rico basado en la interpretaci&oacute,n de piezas tan se&ntilde,eras y significativas como el Himno de la alegr&iacute,a y El canto a Murcia de La Parranda.<br /><br />El cartel anunciador de la 49 edici&oacute,n del Festival Internacional de Folklore en el Mediterr&aacute,neo, que muestra una pareja bailando sobre dos c&iacute,tricos, ha sido confeccionado por el artista ceheginero Nicol&aacute,s de Maya, considerado un artista pl&aacute,stico multidisciplinar.<br /><br /><strong>Oficina de Festivales</strong><br />Tel&eacute,fono 968 35 86 00, ext 33587 &oacute, 33586<br />&nbsp,</p><h3>M&Aacute,S INFORMACI&Oacute,N</h3><p><a href='/PORTAL-2002/agenda/archivos/Programa_49_Festival_Internacional.compressed.pdf' rel='nofollow' target='_blank' title='Programa de actos'>Programa de actos</a></p>;Interés Turístico Regional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-484-54p_g.jpg;;;;;;;;;;;;;;;;
